subject,body,label
"Win a free iPhone","Click here to claim your prize now!",1
"Meeting tomorrow","Let's meet at 10 AM in the conference room.",0
"Lottery Winner!","You have won $1000, claim your prize today!",1
"Project Update","The project deadline is next week.",0
"Congratulations!","You've been selected for a free gift card.",1
"Invoice #12345","Please find attached the invoice for last month.",0
"Urgent: Account Suspended","Your account has been suspended. Click here to reactivate.",1
"Team Lunch","Are we still on for team lunch this Friday?",0
"Exclusive Offer","Get 50% off on all products. Limited time only!",1
"Weekly Report","Attached is the weekly sales report.",0
"Claim Your Prize Now","You won the grand prize in our lottery.",1
"Reminder: Appointment","This is a reminder for your appointment tomorrow.",0
"Earn money fast","Make $5000 a week working from home!",1
"Holiday Plans","Let's discuss holiday plans next week.",0
"Free Bitcoin","Invest in Bitcoin and double your money.",1
"Client Feedback","Received positive feedback from the client.",0
"URGENT: Verify Account NOW","Click immediately or lose access forever!",1
"Budget Review Meeting","Please review the quarterly budget before our meeting.",0
"You've Won $50,000!","Congratulations! Transfer fee required to claim prize.",1
"Quarterly Performance","Your Q3 performance review is scheduled for next week.",0
"FREE VIAGRA PILLS","No prescription needed! Order now and save 90%!",1
"School Board Meeting","The next PTA meeting is scheduled for Thursday at 7 PM.",0
"MAKE MONEY ONLINE NOW","Work from home and earn $10,000 per month guaranteed!",1
"Doctor Appointment","Your annual checkup is scheduled for next Tuesday.",0
"Nigerian Prince Inheritance","I am a prince who needs your help transferring millions.",1
"Car Insurance Renewal","Your policy expires next month. Please review terms.",0
"LOSE WEIGHT FAST","Miracle pill melts fat overnight! Order now!",1
"Team Building Event","Join us for team building activities this Saturday.",0
"Credit Score Alert","Your credit score has dropped significantly!",1
"Library Book Due","Your borrowed books are due for return this Friday.",0
"Hot Singles in Your Area","Meet local singles tonight! No strings attached!",1
"Parent-Teacher Conference","We'd like to schedule a meeting about your child.",0
"CONGRATULATIONS WINNER","You are our 1,000,000th visitor! Claim your prize!",1
"Dentist Appointment","Reminder: Your cleaning appointment is tomorrow at 2 PM.",0
"Get Rich Quick Scheme","Turn $100 into $10,000 in just one week!",1
"Book Club Meeting","This month we're discussing 'To Kill a Mockingbird'.",0
"URGENT TAX REFUND","IRS owes you $3,247. Click to claim immediately!",1
"Grocery Store Receipt","Thank you for shopping with us today.",0
"Miracle Cure Found","Doctors hate this one weird trick that cures everything!",1
"Flight Confirmation","Your flight to Boston is confirmed for next Monday.",0
"FINAL NOTICE","Your warranty is about to expire. Renew now!",1
"Wedding Invitation","You're invited to Sarah and Mike's wedding ceremony.",0
"Cash Advance Offer","Get $5,000 cash deposited in your account today!",1
"Monthly Newsletter","Here's what's happening in our community this month.",0
"AMAZING DIET PILLS","Lose 30 pounds in 30 days without exercise!",1
"Study Group Session","Let's meet at the library tomorrow for our chemistry exam.",0
"You Have Unclaimed Money","Government owes you money. Click to claim $2,000!",1
"Vet Appointment","Reminder: Fluffy's vaccination is due next week.",0
"Work From Home Opportunity","Earn $200/hour typing from home! No experience needed!",1
"Concert Tickets","The Rolling Stones concert tickets are now available.",0
"CREDIT CARD APPROVED","You're pre-approved for $25,000 credit limit!",1
"Family Reunion","Annual family gathering is planned for July 4th weekend.",0
"Penis Enlargement Pills","Increase size by 3 inches in 30 days guaranteed!",1
"Electric Bill","Your monthly electricity bill is ready for payment.",0
"CLICK HERE FOR PRIZES","Amazing prizes await! Click now to win big!",1
"Homework Assignment","Don't forget to submit your history essay by Friday.",0
"FREE CASINO CHIPS","Play online casino and win real money with free chips!",1
"Water Bill Notice","Your water usage for this month was higher than usual.",0
"ROLEX WATCHES CHEAP","Authentic Rolex watches at 90% discount! Limited time!",1
"Birthday Party Invitation","Join us for Emma's 8th birthday party this Saturday.",0
"Refinance Your Home","Lower your mortgage payments by $500/month!",1
"Yoga Class Schedule","New yoga classes start Monday. Register now!",0
"URGENT SECURITY ALERT","Someone tried to access your account from Nigeria!",1
"Parking Reminder","Street cleaning is tomorrow. Please move your car.",0
"GET PAID TO SHOP","Earn money while shopping online! Join now!",1
"Recipe Exchange","Here's my grandmother's famous chocolate chip recipe.",0
"VIRUS WARNING","Your computer is infected! Download our antivirus now!",1
"Job Interview","Congratulations! We'd like to schedule an interview.",0
"ADULT CHAT ROOMS","Hot girls are waiting to chat with you right now!",1
"Museum Membership","Your annual membership is due for renewal.",0
"GUARANTEED LOAN APPROVAL","Bad credit OK! Get approved for $50,000 today!",1
"Neighborhood Watch","Monthly community safety meeting is next Thursday.",0
"ENLARGE YOUR MANHOOD","Natural enhancement pills with guaranteed results!",1
"Piano Recital","Your child's piano recital is scheduled for next Sunday.",0
"ACT FAST - LIMITED TIME","This incredible offer expires in 24 hours!",1
"Weather Alert","Severe thunderstorm warning for your area tonight.",0
"MAKE MILLIONS TRADING","Secret forex trading system makes you rich overnight!",1
"Coffee Shop Loyalty","You've earned a free coffee! Come redeem your reward.",0
"URGENT MEDICAL ALERT","New breakthrough reverses aging process completely!",1
"School Supply List","Here's the supply list for the upcoming school year.",0
"HOT STOCK TIP","This penny stock will explode 1000% next week!",1
"Volunteer Opportunity","Help serve meals at the homeless shelter this weekend.",0
